Timestamp,Equipment,Target,Current_Value,Valve_Pos
2026-05-06 17:08:28.582,Water Tank (Level %),60.0,92.36,0
2026-05-06 17:08:29.708,Water Tank (Level %),60.0,90.45,0
2026-05-06 17:08:30.837,Water Tank (Level %),60.0,88.54,0
2026-05-06 17:08:31.959,Water Tank (Level %),60.0,86.63,0
2026-05-06 17:08:33.080,Water Tank (Level %),60.0,84.72,0
2026-05-06 17:08:34.213,Water Tank (Level %),60.0,82.81,0
2026-05-06 17:08:35.338,Water Tank (Level %),60.0,80.9,0
2026-05-06 17:08:36.484,Water Tank (Level %),60.0,78.99,0
2026-05-06 17:08:37.607,Water Tank (Level %),60.0,77.08,0
2026-05-06 17:08:38.747,Water Tank (Level %),60.0,75.17,0
2026-05-06 17:08:39.879,Water Tank (Level %),60.0,73.26,0
2026-05-06 17:08:41.003,Water Tank (Level %),60.0,71.35,0
2026-05-06 17:08:42.125,Water Tank (Level %),60.0,69.44,0
2026-05-06 17:08:43.249,Water Tank (Level %),60.0,67.53,0
2026-05-06 17:08:44.373,Water Tank (Level %),60.0,65.62,0
2026-05-06 17:08:45.519,Water Tank (Level %),60.0,63.71,0
2026-05-06 17:08:46.647,Water Tank (Level %),60.0,61.8,0
2026-05-06 17:08:47.779,Water Tank (Level %),60.0,59.89,0
2026-05-06 17:08:48.903,Water Tank (Level %),60.0,57.98,0
2026-05-06 17:08:50.028,Water Tank (Level %),60.0,56.07,0
2026-05-06 17:08:51.152,Water Tank (Level %),60.0,54.16,0
2026-05-06 17:08:54.170,Water Tank (Level %),30.0,52.25,0
2026-05-06 17:08:55.305,Water Tank (Level %),30.0,50.34,0
2026-05-06 17:08:56.442,Water Tank (Level %),30.0,48.43,0
2026-05-06 17:08:57.564,Water Tank (Level %),30.0,46.52,0
2026-05-06 17:08:58.689,Water Tank (Level %),30.0,44.61,0
2026-05-06 17:08:59.829,Water Tank (Level %),30.0,42.7,0
2026-05-06 17:09:00.957,Water Tank (Level %),30.0,40.79,0
2026-05-06 17:09:02.121,Water Tank (Level %),30.0,38.88,0
2026-05-06 17:09:03.257,Water Tank (Level %),30.0,36.97,0
2026-05-06 17:09:04.392,Water Tank (Level %),30.0,35.06,0
2026-05-06 17:09:05.513,Water Tank (Level %),30.0,33.15,0
2026-05-06 17:09:06.648,Water Tank (Level %),30.0,31.25,0
2026-05-06 17:09:07.774,Water Tank (Level %),30.0,29.34,0
2026-05-06 17:09:08.898,Water Tank (Level %),30.0,27.43,0
2026-05-06 17:09:10.032,Water Tank (Level %),30.0,25.52,0
2026-05-06 17:09:11.184,Water Tank (Level %),30.0,23.61,0
2026-05-06 17:09:12.338,Water Tank (Level %),30.0,21.7,0
2026-05-06 17:09:13.586,Water Tank (Level %),30.0,19.79,0
2026-05-06 17:09:14.769,Water Tank (Level %),30.0,17.88,0
2026-05-06 17:09:15.897,Water Tank (Level %),30.0,15.97,0
2026-05-06 17:09:17.067,Water Tank (Level %),30.0,14.06,0
2026-05-06 17:09:18.195,Water Tank (Level %),30.0,12.15,0
2026-05-06 17:09:19.344,Water Tank (Level %),30.0,19.79,100
2026-05-06 17:09:24.583,Water Tank (Level %),10.0,17.88,0
2026-05-06 17:09:25.715,Water Tank (Level %),10.0,15.97,0
2026-05-06 17:09:26.845,Water Tank (Level %),10.0,14.06,0
2026-05-06 17:09:27.987,Water Tank (Level %),10.0,12.15,0
2026-05-06 17:09:29.114,Water Tank (Level %),10.0,10.24,0
2026-05-06 17:09:30.239,Water Tank (Level %),10.0,8.33,0
2026-05-06 17:09:31.366,Water Tank (Level %),10.0,6.42,0
2026-05-06 17:09:32.490,Water Tank (Level %),10.0,4.51,0
2026-05-06 17:09:33.616,Water Tank (Level %),10.0,2.6,0
2026-05-06 17:09:34.741,Water Tank (Level %),10.0,0.69,0
2026-05-06 17:09:35.932,Water Tank (Level %),10.0,0.0,0
2026-05-06 17:09:37.062,Water Tank (Level %),10.0,0.0,0
2026-05-06 17:09:38.188,Water Tank (Level %),10.0,0.0,0
2026-05-06 17:09:39.314,Water Tank (Level %),10.0,0.0,0
2026-05-06 17:09:40.440,Water Tank (Level %),10.0,7.64,100
2026-05-06 17:09:41.560,Water Tank (Level %),10.0,15.28,100
2026-05-06 17:09:42.690,Water Tank (Level %),10.0,22.92,100
2026-05-06 17:09:43.848,Water Tank (Level %),10.0,30.56,100
2026-05-06 17:09:44.981,Water Tank (Level %),10.0,28.65,0
2026-05-06 17:09:46.104,Water Tank (Level %),10.0,26.74,0
2026-05-06 17:09:47.305,Water Tank (Level %),10.0,24.83,0
2026-05-06 17:09:48.431,Water Tank (Level %),10.0,22.92,0
2026-05-06 17:09:49.556,Water Tank (Level %),10.0,21.01,0
2026-05-06 17:09:50.680,Water Tank (Level %),10.0,19.1,0
2026-05-06 17:09:51.813,Water Tank (Level %),10.0,17.19,0
2026-05-06 17:09:53.070,Water Tank (Level %),10.0,15.28,0
2026-05-06 17:09:54.202,Water Tank (Level %),10.0,13.37,0
2026-05-06 17:09:55.368,Water Tank (Level %),10.0,11.46,0
2026-05-06 17:09:56.535,Water Tank (Level %),10.0,9.55,0
2026-05-06 17:09:57.663,Water Tank (Level %),10.0,7.64,0
2026-05-06 17:09:58.789,Water Tank (Level %),10.0,5.73,0
2026-05-06 17:09:59.916,Water Tank (Level %),10.0,3.82,0
2026-05-06 17:10:01.066,Water Tank (Level %),10.0,1.91,0
2026-05-06 17:10:02.188,Water Tank (Level %),10.0,0.0,0
2026-05-06 17:10:03.389,Water Tank (Level %),10.0,0.0,0
2026-05-06 17:10:04.573,Water Tank (Level %),10.0,0.0,0
2026-05-06 17:10:05.695,Water Tank (Level %),10.0,0.0,0
2026-05-06 17:10:06.830,Water Tank (Level %),10.0,0.0,0
2026-05-06 17:10:08.153,Water Tank (Level %),10.0,0.0,0
2026-05-06 17:10:09.278,Water Tank (Level %),10.0,7.64,100
2026-05-06 17:10:10.407,Water Tank (Level %),10.0,15.28,100
2026-05-06 17:10:11.538,Water Tank (Level %),10.0,22.92,100
2026-05-06 17:10:12.669,Water Tank (Level %),10.0,30.56,100
